Gender,Age,toxicity
male,45,0.0005122908623889
other,30,0.0013849970418959
other,25,0.0075900317169725
other,22,0.0018562697805464
male,26,0.0004346191126387
male,44,0.0008928209426812
male,26,0.0082496516406536
other,21,0.0042180749587714
male,34,0.0015197159955278
male,22,0.0010478347539901
male,30,0.0062978500500321
other,57,0.0004980034427717
male,136,0.0008995544048957
other,19,0.0035798363387584
male,26,0.0004605268477462
male,34,0.0004974047187715
female,23,0.0023171249777078
male,44,0.0010985741391777
male,44,0.0003980694455094
other,24,0.0003894039255101
male,44,0.0005483328714035
female,22,0.0006666381377726
other,18,0.0259883534163236
male,26,0.0076521825976669
other,35,0.0015602012863382
male,26,0.0005511766066774
other,30,0.0243584308773279
female,38,0.0009987839730456
other,19,0.0004364181950222
other,20,0.0004047132970299
other,23,0.0006401839782483
other,17,0.0009688048739917
male,29,0.0005485038273036
female,21,0.0006315070204436
male,34,0.0067191654816269
other,21,0.0047054840251803
male,30,0.0006243262905627
female,19,0.0006041160086169
other,20,0.0202629584819078
male,21,0.0007996152853593
male,61,0.0010234786896035
other,24,0.0005165905458852
male,44,0.000531913829036
female,39,0.000901474209968
male,12,0.003659265814349
other,30,0.003451261203736
other,24,0.0008781569777056
other,21,0.0008022360852919
male,45,0.0004991316818632
male,25,0.0004924164968542
male,44,0.0005303345969878
female,22,0.0077251107431948
female,21,0.0006083982880227
male,30,0.0005438129301182
male,22,0.0072830491699278
other,42,0.001574343885295
other,22,0.0005540152778849
other,23,0.0093427477404475
male,21,0.000555437291041
male,26,0.0007988247089087
male,63,0.0004293520760256
other,18,0.0021984241902828
female,21,0.0007018643082119
male,40,0.0004781124007422
male,44,0.001654181513004
other,33,0.0022101399954408
other,52,0.0004216570814605
other,19,0.0004351876850705
female,20,0.0007199318497441
other,41,0.0164815951138734
other,37,0.000456296314951
female,21,0.0010024026269093
male,12,0.0063155554234981
other,12,0.0004947803099639
other,23,0.0006734273047186
male,21,0.0004877408791799
other,20,0.0025893496349453
other,26,0.0012657167389988
other,12,0.0012781218392774
other,18,0.0005266886437311
male,26,0.0011263695778325
male,30,0.0005189891671761
other,21,0.0004039029590785
other,33,0.0014100684784352
female,19,0.0008504319703206
male,23,0.0003875974798575
female,18,0.0026307867374271
other,22,0.0107911517843604
female,21,0.0069782501086592
male,26,0.0009936827700585
other,36,0.0006287534488365
male,21,0.0004526162811089
other,63,0.000420596654294
male,26,0.0011776557657867
male,26,0.0071544209495186
male,33,0.0006281138048507
male,26,0.0030738906934857
female,19,0.0006330243777483
male,30,0.0010121307568624
male,21,0.0003904497425537
other,12,0.0015915790572762
male,19,0.0008105881279334
other,21,0.0016514079179614
female,39,0.0008229158702306
other,22,0.0011852968018501
other,23,0.0010346530470997
female,19,0.000652031507343
other,21,0.0083859153091907
male,20,0.0004016171442344
other,20,0.0005897434311918
male,21,0.0053864018991589
other,20,0.000507177086547
other,20,0.0006279105436988
female,39,0.0004088066343683
female,52,0.0005385797703638
male,29,0.0004314107936806
female,20,0.0004443487850949
other,24,0.0009836733806878
other,22,0.0006640712963417
other,12,0.0004035421588923
other,21,0.0051176021806895
other,13,0.0074460501782596
other,25,0.0005447589792311
other,25,0.0008387579000554
male,44,0.0006442121812142
other,21,0.0004467780527193
male,21,0.0004369658126961
other,14,0.0168855283409357
other,12,0.0004653432406485
other,13,0.0013589503942057
male,54,0.0042671887204051
other,47,0.0005866876454092
female,19,0.0006533244159072
other,19,0.0004627720336429
male,44,0.0004990826710127
male,26,0.0008122973376885
other,20,0.000448571430752
other,21,0.0013530136784538
male,40,0.0004212472704239
male,21,0.0031668823212385
female,21,0.0014031021855771
other,20,0.0013549518771469
other,22,0.0030106813646852
other,20,0.0044434536248445
other,14,0.0017030871240422
other,18,0.0026305238716304
other,25,0.0004353467957116
other,12,0.0018038239795714
male,21,0.0046596680767834
male,24,0.0038268531206995
female,21,0.0042012641206383
male,44,0.0004771538078784
male,50,0.0058027934283018
other,23,0.001031718798913
other,18,0.0003986158699262
other,12,0.0013625472784042
other,19,0.0036582089960575
other,30,0.0005349885323084
male,29,0.0009613228612579
male,26,0.0012252061860635
male,26,0.000881916610524
other,18,0.0022177672944962
female,47,0.0004549438890535
male,21,0.000473225780297
other,18,0.0013352177338674
other,20,0.0004985244595445
female,22,0.0007150102755986
other,20,0.0004353320982772
male,30,0.0006651236326433
male,16,0.0004475446767173
other,22,0.0006245441036298
male,23,0.0005568935303017
female,24,0.0004338783037383
other,63,0.0008783583180047
other,12,0.0022688014432787
female,38,0.0014297359157353
male,21,0.0026864416431635
other,22,0.0026691404636949
